id,type,title,day,starttime,endtime,timezone,discordurl,stream,location,stream-url,aindanaoaconteceu
PD3,PostersAndDemos,Posters and Demos,"Wednesday, 31 March, 2021",14:00,15:30,Lisbon WEST UTC+1,,,Expo Hall A/B,,
PD4,PostersAndDemos,Posters and Demos,"Thursday, 1 April, 2021",10:30,12:00,Lisbon WEST UTC+1,,,Expo Hall A/B,,
EXW,Exhibition,Exhibitors: Welcome Reception,"Monday, March 29",17:30,18:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/824212641978908672,,Auditorium A,,
EX1,Exhibition,Exhibition Hours,"Monday, March 29",15:00,16:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/824212641978908672,,Theatre,,
EX2,Exhibition,Exhibition Hours,"Tuesday, March 30",09:30,11:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/824212641978908672,,Theatre,,
EX3,Exhibition,Exhibition Hours,"Tuesday, March 30",16:00,17:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/824212641978908672,,Theatre,,
EX4,Exhibition,Exhibition Hours,"Wednesday, March 31",09:30,11:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/824212641978908672,,Theatre,,
EX5,Exhibition,Exhibition Hours,"Wednesday, March 31",14:00,15:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/824212641978908672,,Theatre,,
EX6,Exhibition,Exhibition Hours,"Thursday, April 1",10:30,12:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/824212641978908672,,Theatre,,
EX7,Exhibition,Exhibition Hours,"Thursday, April 1",17:30,18:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/824212641978908672,,Theatre,,
3dui1,3DUIContest,3DUI Contest,"Wednesday, March 31",14:00,15:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/823244428104958033,,Expo Hall A,,
BOFSocial1,BOFSocial,BOF/Social,"Tuesday, March 30",16:00,17:00,Lisbon WEST UTC+1,,,Virbela,,
BOFSocial2,BOFSocial,BOF/Social,"Wednesday, March 31",09:30,10:30,Lisbon WEST UTC+1,,,Virbela,,
BOFSocial3,BOFSocial,BOF/Social,"Thursday, April 1",09:30,10:30,Lisbon WEST UTC+1,,,Virbela,,
Mixer1,Mixer,Mixer,"Tuesday, March 30",18:00,19:00,Lisbon WEST UTC+1,,,Music Hall,,
Mixer2,Mixer,Mixer,"Wednesday, March 31",18:00,19:00,Lisbon WEST UTC+1,,,Virbela,,
O1,Other,Opening,"Monday, March 29",08:30,10:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/823247607312285766,Stream1,Auditorium A,https://youtu.be/tmxjxTyjmqI?t=3588,
O2,Other,Welcome Reception (including VGTC Awards),"Monday, March 29",17:30,19:00,Lisbon WEST UTC+1,,Stream1,Auditorium A,https://youtu.be/Ag3LRcqxpo4?t=22692,
O3,Other,Closing,"Thursday, April 1",16:30,18:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/823247643903655946,Stream1,Auditorium A,https://youtu.be/ijfvmKMLpQg?t=32862,
posters-all,,,,,,,discord.com/channels/785628120471699507/823244142611791942,,Hall A and Hall B,,
demos-all,,,,,,,discord.com/channels/785628120471699507/823244312762515486,,Hall A and Hall B,,
BOFSocialX1,,Accessible XR,,,,,discord.com/channels/785628120471699507/825801842079826031,,Virbela,,
BOFSocialX2,,UNC Celebration,,,,,discord.com/channels/785628120471699507/825801912858181692,,Virbela,,
BOFSocialX3,,IEEE AIVR 2021 get-together,,,,,discord.com/channels/785628120471699507/826012268092719114,,Virbela,,
BOFSocialX4,,Towards real-time evaluation of cyber-sickness in VR,,,,,discord.com/channels/785628120471699507/826029055706529803,,Virbela,,
